kv,voltage_V,prop,throttle_pct,current_A,power_W,thrust_g,rpm,efficiency_gW
KV880,14.8,1038,-1,0.7,10.36,100.0,2830.0,9.65
KV880,14.8,1038,-1,1.5,22.2,200.0,3846.0,9.01
KV880,14.8,1038,-1,2.4,35.52,300.0,4562.0,8.45
KV880,14.8,1038,-1,3.6,53.28,400.0,5139.0,7.51
KV880,14.8,1038,-1,4.8,71.04,500.0,5675.0,7.04
KV880,14.8,1038,-1,6.2,91.76,600.0,6093.0,6.54
KV880,14.8,1038,-1,7.8,115.44,700.0,6480.0,6.06
KV880,14.8,1038,-1,9.4,139.12,800.0,6983.0,5.75
KV880,14.8,1038,-1,13.4,198.32,1000.0,7672.0,5.04
KV880,14.8,1038,-1,19.0,281.2,1290.0,8406.0,4.59
KV880,16.8,1038,-1,0.6,10.08,100.0,2810.0,9.92
KV880,16.8,1038,-1,1.3,21.84,200.0,3841.0,9.16
KV880,16.8,1038,-1,2.2,36.96,300.0,4566.0,8.12
KV880,16.8,1038,-1,3.2,53.76,400.0,5161.0,7.44
KV880,16.8,1038,-1,4.3,72.24,500.0,5629.0,6.92
KV880,16.8,1038,-1,5.6,94.08,600.0,6045.0,6.38
KV880,16.8,1038,-1,7.0,117.6,700.0,6421.0,5.95
KV880,16.8,1038,-1,8.6,144.48,800.0,6857.0,5.54
KV880,16.8,1038,-1,12.0,201.6,1000.0,7613.0,4.96
KV880,16.8,1038,-1,16.5,277.2,1200.0,8143.0,4.33
KV880,16.8,1038,-1,22.3,374.64,1500.0,9086.0,4.0
KV880,11.1,1047,-1,0.8,8.88,100.0,2662.0,11.26
KV880,11.1,1047,-1,1.8,19.98,200.0,3596.0,10.01
KV880,11.1,1047,-1,3.0,33.3,300.0,4309.0,9.01
KV880,11.1,1047,-1,4.3,47.73,400.0,4931.0,8.38
KV880,11.1,1047,-1,5.9,65.49,500.0,5462.0,7.63
KV880,11.1,1047,-1,7.8,86.58,600.0,5871.0,6.93
KV880,11.1,1047,-1,9.7,107.67,700.0,6268.0,6.5
KV880,11.1,1047,-1,12.8,142.08,850.0,6844.0,5.98
KV880,12.5,1047,-1,0.7,8.75,100.0,2675.0,11.43
KV880,12.5,1047,-1,1.7,21.25,200.0,3613.0,9.41
KV880,12.5,1047,-1,2.8,35.0,300.0,4303.0,8.57
KV880,12.5,1047,-1,4.1,51.25,400.0,4905.0,7.8
KV880,12.5,1047,-1,5.4,67.5,500.0,5433.0,7.41
KV880,12.5,1047,-1,7.0,87.5,600.0,5864.0,6.86
KV880,12.5,1047,-1,8.7,108.75,700.0,6241.0,6.44
KV880,12.5,1047,-1,10.8,135.0,800.0,6674.0,5.93
KV880,12.5,1047,-1,15.2,190.0,1010.0,7379.0,5.32
KV880,14.8,1047,-1,0.6,8.88,100.0,2644.0,11.26
KV880,14.8,1047,-1,1.4,20.72,200.0,3610.0,9.65
KV880,14.8,1047,-1,2.4,35.52,300.0,4380.0,8.45
KV880,14.8,1047,-1,3.5,51.8,400.0,4956.0,7.72
KV880,14.8,1047,-1,4.8,71.04,500.0,5413.0,7.04
KV880,14.8,1047,-1,6.2,91.76,600.0,5880.0,6.54
KV880,14.8,1047,-1,7.8,115.44,700.0,6287.0,6.06
KV880,14.8,1047,-1,9.5,140.6,800.0,6670.0,5.69
KV880,14.8,1047,-1,13.5,199.8,1000.0,7429.0,5.01
KV880,14.8,1047,-1,17.7,261.96,1200.0,8080.0,4.58
KV880,14.8,1047,-1,19.6,290.08,1340.0,8455.0,4.62
KV880,16.8,1047,-1,0.5,8.4,100.0,2620.0,11.9
KV880,16.8,1047,-1,1.3,21.84,200.0,3642.0,9.16
KV880,16.8,1047,-1,2.1,35.28,300.0,4365.0,8.5
KV880,16.8,1047,-1,3.1,52.08,400.0,4934.0,7.68
KV880,16.8,1047,-1,4.3,72.24,500.0,5456.0,6.92
KV880,16.8,1047,-1,5.6,94.08,600.0,5854.0,6.38
KV880,16.8,1047,-1,6.9,115.92,700.0,6307.0,6.04
KV880,16.8,1047,-1,8.5,142.8,800.0,6680.0,5.6
KV880,16.8,1047,-1,12.2,204.96,1000.0,7421.0,4.88
KV880,16.8,1047,-1,16.2,272.16,1200.0,8076.0,4.41
KV880,16.8,1047,-1,20.3,341.04,1400.0,8687.0,4.11
KV880,16.8,1047,-1,23.4,393.12,1590.0,9156.0,4.04
