kv,voltage_V,prop,throttle_pct,current_A,power_W,thrust_g,rpm,efficiency_gW
KV900,14.8,APC 10*5.5,40.0,6.54,99.39,687.0,6433.0,6.91
KV900,14.8,APC 10*5.5,45.0,7.72,117.1,763.0,6833.0,6.52
KV900,14.8,APC 10*5.5,50.0,8.96,135.73,857.0,7179.0,6.31
KV900,14.8,APC 10*5.5,55.0,10.24,154.86,946.0,7470.0,6.11
KV900,14.8,APC 10*5.5,60.0,11.45,172.98,1021.0,7775.0,5.9
KV900,14.8,APC 10*5.5,65.0,12.9,194.54,1113.0,8086.0,5.72
KV900,14.8,APC 10*5.5,70.0,14.98,225.3,1234.0,8515.0,5.48
KV900,14.8,APC 10*5.5,75.0,17.28,259.18,1375.0,8915.0,5.31
KV900,14.8,APC 10*5.5,80.0,20.11,300.72,1523.0,9356.0,5.07
KV900,14.8,APC 10*5.5,85.0,23.55,350.72,1702.0,9791.0,4.85
KV900,14.8,APC 10*5.5,90.0,26.79,397.61,1831.0,10216.0,4.6
KV900,14.8,APC 10*5.5,95.0,29.89,442.0,1984.0,10464.0,4.49
KV900,14.8,APC 10*5.5,100.0,29.81,440.87,1976.0,10453.0,4.48
KV900,14.8,APC 11*5.5,40.0,6.83,103.71,744.0,6028.0,7.17
KV900,14.8,APC 11*5.5,45.0,8.18,123.93,847.0,6411.0,6.84
KV900,14.8,APC 11*5.5,50.0,9.55,144.57,946.0,6750.0,6.55
KV900,14.8,APC 11*5.5,55.0,10.93,165.2,1037.0,7078.0,6.28
KV900,14.8,APC 11*5.5,60.0,12.68,191.16,1154.0,7407.0,6.04
KV900,14.8,APC 11*5.5,65.0,15.03,226.09,1305.0,7773.0,5.77
KV900,14.8,APC 11*5.5,70.0,17.61,264.01,1456.0,8171.0,5.51
KV900,14.8,APC 11*5.5,75.0,20.26,302.96,1598.0,8565.0,5.27
KV900,14.8,APC 11*5.5,80.0,23.65,352.3,1781.0,8948.0,5.06
KV900,14.8,APC 11*5.5,90.0,31.16,460.18,2099.0,9729.0,4.56
KV900,14.8,APC 11*5.5,100.0,34.23,503.64,2216.0,9927.0,4.4
KV900,11.1,APC 12*6,40.0,5.06,57.77,523.0,4348.0,9.05
KV900,11.1,APC 12*6,45.0,6.09,69.41,604.0,4651.0,8.7
KV900,11.1,APC 12*6,50.0,7.15,81.41,679.0,4928.0,8.35
KV900,11.1,APC 12*6,55.0,8.28,94.16,756.0,5164.0,8.03
KV900,11.1,APC 12*6,60.0,9.5,107.84,838.0,5456.0,7.77
KV900,11.1,APC 12*6,65.0,11.26,127.36,951.0,5753.0,7.47
KV900,11.1,APC 12*6,70.0,13.36,150.67,1069.0,6123.0,7.1
KV900,11.1,APC 12*6,75.0,15.83,177.89,1210.0,6467.0,6.8
KV900,11.1,APC 12*6,80.0,18.43,206.33,1334.0,6784.0,6.47
KV900,11.1,APC 12*6,90.0,24.46,271.34,1613.0,7395.0,5.95
KV900,11.1,APC 12*6,100.0,27.02,298.67,1720.0,7601.0,5.76
KV900,11.1,APC 13*6.5,40.0,5.56,63.41,578.0,3943.0,9.11
KV900,11.1,APC 13*6.5,45.0,6.57,74.85,651.0,4177.0,8.7
KV900,11.1,APC 13*6.5,50.0,7.74,88.06,738.0,4437.0,8.38
KV900,11.1,APC 13*6.5,55.0,9.4,106.71,850.0,4770.0,7.96
KV900,11.1,APC 13*6.5,60.0,11.68,132.11,988.0,5146.0,7.48
KV900,11.1,APC 13*6.5,65.0,14.08,158.66,1131.0,5465.0,7.13
KV900,11.1,APC 13*6.5,70.0,17.03,191.1,1285.0,5803.0,6.73
KV900,11.1,APC 13*6.5,75.0,19.8,221.2,1425.0,6082.0,6.44
KV900,11.1,APC 13*6.5,80.0,22.89,254.54,1573.0,6355.0,6.18
KV900,11.1,APC 13*6.5,90.0,29.95,329.65,1856.0,6886.0,5.63
KV900,11.1,APC 13*6.5,100.0,32.64,357.75,1953.0,7047.0,5.46
KV1050,14.8,APC 10*5.5,40.0,8.71,131.99,801.0,7022.0,6.07
KV1050,14.8,APC 10*5.5,45.0,10.45,157.93,916.0,7441.0,5.8
KV1050,14.8,APC 10*5.5,50.0,11.87,179.2,1008.0,7764.0,5.63
KV1050,14.8,APC 10*5.5,55.0,13.9,209.37,1128.0,8182.0,5.39
KV1050,14.8,APC 10*5.5,60.0,15.62,234.8,1219.0,8511.0,5.19
KV1050,14.8,APC 10*5.5,65.0,17.82,267.21,1347.0,8876.0,5.04
KV1050,14.8,APC 10*5.5,70.0,20.2,302.0,1452.0,9332.0,4.81
KV1050,14.8,APC 10*5.5,75.0,23.42,348.93,1625.0,9763.0,4.66
KV1050,14.8,APC 10*5.5,80.0,27.59,409.06,1802.0,10268.0,4.41
KV1050,14.8,APC 10*5.5,90.0,36.92,541.62,2169.0,11133.0,4.0
KV1050,14.8,APC 10*5.5,100.0,39.83,582.49,2274.0,11297.0,3.9
KV1050,14.8,APC 11*5.5,40.0,9.26,140.21,904.0,6563.0,6.45
KV1050,14.8,APC 11*5.5,45.0,11.13,168.14,1033.0,6954.0,6.14
KV1050,14.8,APC 11*5.5,50.0,13.12,197.78,1158.0,7323.0,5.85
KV1050,14.8,APC 11*5.5,55.0,15.13,227.55,1287.0,7678.0,5.66
KV1050,14.8,APC 11*5.5,60.0,17.7,265.35,1430.0,8058.0,5.39
KV1050,14.8,APC 11*5.5,65.0,20.9,312.22,1600.0,8455.0,5.13
KV1050,14.8,APC 11*5.5,70.0,23.91,356.01,1749.0,8829.0,4.91
KV1050,14.8,APC 11*5.5,75.0,28.74,425.55,1979.0,9298.0,4.65
KV1050,14.8,APC 11*5.5,80.0,33.27,490.09,2172.0,9708.0,4.43
KV1050,14.8,APC 11*5.5,90.0,43.03,627.03,2503.0,10384.0,3.99
KV1050,14.8,APC 11*5.5,100.0,46.09,669.24,2553.0,10518.0,3.82
KV1050,11.1,APC 12*6,40.0,6.82,77.66,632.0,4719.0,8.13
KV1050,11.1,APC 12*6,45.0,8.28,94.08,727.0,5080.0,7.73
KV1050,11.1,APC 12*6,50.0,9.72,110.24,823.0,5359.0,7.46
KV1050,11.1,APC 12*6,55.0,11.36,128.45,915.0,5639.0,7.12
KV1050,11.1,APC 12*6,60.0,13.38,150.96,1036.0,5984.0,6.87
KV1050,11.1,APC 12*6,65.0,15.83,177.87,1169.0,6329.0,6.57
KV1050,11.1,APC 12*6,70.0,18.58,207.95,1309.0,6667.0,6.29
KV1050,11.1,APC 12*6,75.0,21.79,242.75,1464.0,6992.0,6.03
KV1050,11.1,APC 12*6,80.0,25.81,285.74,1632.0,7372.0,5.71
KV1050,11.1,APC 12*6,90.0,32.9,360.35,1894.0,7923.0,5.26
KV1050,11.1,APC 12*6,100.0,36.08,393.28,1988.0,8146.0,5.05
KV1050,11.1,APC 13*6.5,40.0,7.08,80.66,672.0,4188.0,8.33
KV1050,11.1,APC 13*6.5,45.0,8.63,98.04,770.0,4503.0,7.86
KV1050,11.1,APC 13*6.5,50.0,10.53,119.33,886.0,4832.0,7.43
KV1050,11.1,APC 13*6.5,55.0,13.32,150.26,1052.0,5216.0,7.0
KV1050,11.1,APC 13*6.5,60.0,16.03,180.13,1199.0,5569.0,6.66
KV1050,11.1,APC 13*6.5,65.0,19.35,216.34,1363.0,5921.0,6.3
KV1050,11.1,APC 13*6.5,70.0,23.02,255.89,1516.0,6264.0,5.92
KV1050,11.1,APC 13*6.5,75.0,26.36,291.6,1665.0,6526.0,5.71
KV1050,11.1,APC 13*6.5,80.0,30.04,330.47,1804.0,6781.0,5.46
KV1050,11.1,APC 13*6.5,90.0,38.58,419.08,2097.0,7283.0,5.0
KV1050,11.1,APC 13*6.5,100.0,42.37,457.66,2196.0,7430.0,4.8
KV1200,14.8,APC 9*6,40.0,11.63,175.6,868.0,8205.0,4.94
KV1200,14.8,APC 9*6,45.0,13.82,208.07,978.0,8704.0,4.7
KV1200,14.8,APC 9*6,50.0,15.84,238.11,1085.0,9162.0,4.55
KV1200,14.8,APC 9*6,55.0,18.17,272.26,1179.0,9519.0,4.33
KV1200,14.8,APC 9*6,60.0,20.4,304.98,1255.0,9844.0,4.11
KV1200,14.8,APC 9*6,65.0,22.93,341.8,1354.0,10207.0,3.96
KV1200,14.8,APC 9*6,70.0,26.0,386.18,1463.0,10630.0,3.79
KV1200,14.8,APC 9*6,75.0,30.26,447.22,1611.0,11085.0,3.6
KV1200,14.8,APC 9*6,80.0,34.78,511.54,1760.0,11611.0,3.44
KV1200,14.8,APC 9*6,90.0,45.13,656.04,2044.0,12479.0,3.12
KV1200,14.8,APC 9*6,100.0,49.57,716.86,2152.0,12788.0,3.0
KV1200,14.8,APC 10*5.5,40.0,12.35,186.32,981.0,7724.0,5.27
KV1200,14.8,APC 10*5.5,45.0,14.4,216.68,1093.0,8136.0,5.04
KV1200,14.8,APC 10*5.5,50.0,17.11,256.71,1240.0,8583.0,4.83
KV1200,14.8,APC 10*5.5,55.0,19.78,295.95,1370.0,8985.0,4.63
KV1200,14.8,APC 10*5.5,60.0,22.58,336.63,1497.0,9352.0,4.45
KV1200,14.8,APC 10*5.5,65.0,25.2,374.61,1620.0,9712.0,4.33
KV1200,14.8,APC 10*5.5,70.0,29.08,430.36,1779.0,10169.0,4.13
KV1200,14.8,APC 10*5.5,75.0,33.92,499.21,1982.0,10615.0,3.97
KV1200,14.8,APC 10*5.5,80.0,38.94,569.96,2169.0,11052.0,3.81
KV1200,14.8,APC 10*5.5,90.0,50.56,730.26,2519.0,11862.0,3.45
KV1200,14.8,APC 10*5.5,100.0,54.64,785.36,2616.0,12029.0,3.33
KV1200,11.1,APC 10*5.5,40.0,8.64,98.08,635.0,6337.0,6.47
KV1200,11.1,APC 10*5.5,45.0,10.24,115.94,722.0,6707.0,6.23
KV1200,11.1,APC 10*5.5,50.0,11.84,133.77,812.0,7033.0,6.07
KV1200,11.1,APC 10*5.5,55.0,13.34,150.44,888.0,7366.0,5.9
KV1200,11.1,APC 10*5.5,60.0,14.79,166.46,949.0,7644.0,5.7
